[-201010011, -212010011, -543010011, -301010021, -312010021, -613010021, -521010031, -532010031, -603010031, -321020012, -332020012, -233020012, -244020012, -525020012, -631030013, -602030013, -313030013, -441040014, -222040014, -533040014, -611060016, -622060016, -343060016, -304060016, -501070017, -512070017, -403070017, -414070017, -645070017, -421080018, -432080018, -431020022, -442020022, -213020022, -224020022, -345020022, -201030023, -402030023, -423030023, -621040024, -412040024, -543040024, -501050025, -512050025, -323050025, -334050025, -605050025, -521060026, -532060026, -233060026, -244060026, -631080028, -642080028, -441030033, -332030033, -343030033, -501040034, -202040034, -423040034, -631050035, -642050035, -403050035, -414050035, -305050035, -311060036, -322060036, -543060036, -514060036, -211070037, -222070037, -613070037, -624070037, -435070037, -231080038, -242080038]
[-601010011, -612010011, -543010011, -321010021, -332010021, -523010021, -621010031, -632010031, -343010031, -221020012, -232020012, -303020012, -314020012, -415020012, -211030013, -442030013, -203030013, -241040014, -402040014, -633040014, -501060016, -512060016, -623060016, -324060016, -521070017, -532070017, -423070017, -434070017, -645070017, -331080018, -342080018, -431020022, -442020022, -533020022, -544020022, -345020022, -311030023, -632030023, -623030023, -421040024, -642040024, -203040024, -501050025, -512050025, -403050025, -414050025, -305050025, -211060026, -222060026, -613060026, -604060026, -231080028, -242080028, -641030033, -612030033, -333030033, -601040034, -542040034, -443040034, -521050035, -532050035, -423050035, -434050035, -325050035, -301060036, -312060036, -243060036, -234060036, -501070037, -512070037, -403070037, -414070037, -225070037, -201080038, -212080038]
[-301010011, -312010011, -533010011, -221010021, -232010021, -613010021, -321010031, -332010031, -543010031, -331020012, -342020012, -403020012, -414020012, -205020012, -221030013, -322030013, -213030013, -421040014, -602040014, -523040014, -631060016, -642060016, -543060016, -514060016, -231070017, -242070017, -613070017, -624070017, -505070017, -431080018, -442080018, -531020022, -542020022, -433020022, -444020022, -305020022, -631030023, -602030023, -313030023, -401040024, -622040024, -243040024, -511050025, -522050025, -333050025, -344050025, -645050025, -201060026, -212060026, -323060026, -504060026, -411080028, -422080028, -401030033, -342030033, -243030033, -441040034, -512040034, -233040034, -601050035, -612050035, -413050035, -424050035, -505050035, -301060036, -312060036, -223060036, -624060036, -521070037, -532070037, -203070037, -214070037, -435070037, -631080038, -642080038]
[-301010011, -312010011, -633010011, -601010021, -612010021, -233010021, -211010031, -222010031, -543010031, -231020012, -242020012, -503020012, -514020012, -405020012, -601030013, -442030013, -323030013, -431040014, -642040014, -213040014, -331060016, -342060016, -543060016, -204060016, -411070017, -422070017, -523070017, -534070017, -225070017, -611080018, -622080018, -411020022, -422020022, -203020022, -214020022, -335020022, -631030023, -642030023, -343030023, -621040024, -222040024, -503040024, -531050025, -542050025, -313050025, -324050025, -405050025, -511060026, -522060026, -243060026, -304060026, -431080028, -442080028, -421030033, -302030033, -403030033, -411040034, -242040034, -533040034, -331050035, -342050035, -513050035, -524050035, -645050035, -621060036, -632060036, -503060036, -234060036, -601070037, -612070037, -433070037, -444070037, -205070037, -311080038, -322080038]
[-231010011, -242010011, -503010011, -611010021, -622010021, -543010021, -321010031, -332010031, -223010031, -321020012, -332020012, -403020012, -414020012, -225020012, -211030013, -632030013, -443030013, -201040014, -642040014, -513040014, -601060016, -612060016, -343060016, -524060016, -421070017, -432070017, -533070017, -544070017, -625070017, -301080018, -312080018, -521020022, -532020022, -433020022, -444020022, -345020022, -601030023, -642030023, -313030023, -631040024, -422040024, -243040024, -401050025, -412050025, -323050025, -334050025, -505050025, -221060026, -232060026, -513060026, -304060026, -201080028, -212080028, -401030033, -342030033, -233030033, -501040034, -212040034, -443040034, -601050035, -612050035, -303050035, -314050035, -435050035, -531060036, -542060036, -623060036, -244060036, -511070037, -522070037, -633070037, -644070037, -205070037, -411080038, -422080038]
[-231010011, -242010011, -503010011, -601010021, -612010021, -543010021, -301010031, -312010031, -643010031, -321020012, -332020012, -403020012, -414020012, -205020012, -601030013, -642030013, -443030013, -631040014, -212040014, -513040014, -611060016, -622060016, -343060016, -524060016, -421070017, -432070017, -533070017, -544070017, -225070017, -301080018, -312080018, -211020022, -222020022, -523020022, -534020022, -345020022, -431030023, -312030023, -633030023, -621040024, -402040024, -203040024, -501050025, -512050025, -323050025, -334050025, -445050025, -231060026, -242060026, -643060026, -304060026, -411080028, -422080028, -231030033, -322030033, -243030033, -601040034, -522040034, -443040034, -421050035, -432050035, -533050035, -544050035, -635050035, -211060036, -222060036, -513060036, -504060036, -401070037, -412070037, -613070037, -624070037, -205070037, -331080038, -342080038]
[-231010011, -242010011, -303010011, -611010021, -622010021, -543010021, -331010031, -342010031, -513010031, -331020012, -342020012, -503020012, -514020012, -405020012, -411030013, -442030013, -643030013, -211040014, -632040014, -543040014, -601060016, -612060016, -223060016, -204060016, -521070017, -532070017, -423070017, -434070017, -625070017, -311080018, -322080018, -431020022, -442020022, -523020022, -534020022, -315020022, -631030023, -342030023, -603030023, -641040024, -222040024, -423040024, -321050025, -332050025, -403050025, -414050025, -505050025, -231060026, -242060026, -303060026, -514060026, -201080028, -212080028, -611030033, -212030033, -303030033, -201040034, -622040034, -443040034, -531050035, -542050035, -423050035, -434050035, -605050035, -311060036, -322060036, -523060036, -504060036, -631070037, -642070037, -403070037, -414070037, -245070037, -221080038, -232080038]
[-321010011, -332010011, -603010011, -611010021, -622010021, -523010021, -631010031, -642010031, -343010031, -301020012, -312020012, -233020012, -244020012, -505020012, -341030013, -632030013, -403030013, -511040014, -212040014, -643040014, -611060016, -622060016, -543060016, -224060016, -521070017, -532070017, -433070017, -444070017, -205070017, -411080018, -422080018, -531020022, -542020022, -433020022, -444020022, -345020022, -641030023, -312030023, -603030023, -631040024, -422040024, -243040024, -501050025, -512050025, -403050025, -414050025, -305050025, -321060026, -332060026, -213060026, -204060026, -221080028, -232080028, -621030033, -612030033, -333030033, -601040034, -542040034, -443040034, -521050035, -532050035, -423050035, -434050035, -325050035, -301060036, -312060036, -243060036, -234060036, -501070037, -512070037, -403070037, -414070037, -225070037, -201080038, -212080038]
[-211010011, -222010011, -343010011, -611010021, -622010021, -303010021, -511010031, -522010031, -233010031, -231020012, -242020012, -323020012, -334020012, -545020012, -411030013, -642030013, -443030013, -401040014, -512040014, -633040014, -301060016, -312060016, -623060016, -504060016, -421070017, -432070017, -523070017, -534070017, -205070017, -601080018, -612080018, -501020022, -512020022, -403020022, -414020022, -315020022, -601030023, -322030023, -243030023, -531040024, -422040024, -223040024, -431050025, -442050025, -333050025, -344050025, -545050025, -631060026, -642060026, -523060026, -234060026, -201080028, -212080028, -611030033, -302030033, -333030033, -501040034, -202040034, -603040034, -401050035, -412050035, -313050035, -324050035, -645050035, -531060036, -542060036, -243060036, -344060036, -211070037, -222070037, -623070037, -634070037, -445070037, -421080038, -432080038]
[-501010011, -512010011, -603010011, -611010021, -622010021, -543010021, -631010031, -642010031, -343010031, -231020012, -242020012, -323020012, -334020012, -545020012, -401030013, -642030013, -443030013, -411040014, -212040014, -633040014, -611060016, -622060016, -343060016, -224060016, -521070017, -532070017, -423070017, -434070017, -205070017, -301080018, -312080018, -431020022, -442020022, -523020022, -534020022, -315020022, -631030023, -342030023, -603030023, -641040024, -422040024, -243040024, -501050025, -512050025, -403050025, -414050025, -305050025, -321060026, -332060026, -213060026, -204060026, -221080028, -232080028, -621030033, -612030033, -333030033, -601040034, -542040034, -443040034, -521050035, -532050035, -423050035, -434050035, -325050035, -301060036, -312060036, -243060036, -234060036, -501070037, -512070037, -403070037, -414070037, -225070037, -201080038, -212080038]
